Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
3431,12/19/2014 13:04,12/19/2014 13:13,United States,Fresno,CA,93720,O'neals,California,7,,Male,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,,4,3,5,5,5,5,5,5,5,5,5,3,5,5,3,4,Nothing,Nothing,Be careful,That you have to spend it wisely,36
3432,12/19/2014 13:05,12/19/2014 13:12,United States,Fresno,CA,93720,Coursegold,California,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,5,4,5,5,5,4,5,5,5,5,5,5,3,5,That teamwork is very important,That every good company need a good leader,To make money ,To mange money,72
3433,12/19/2014 13:05,12/19/2014 13:17,United States,Fresno,CA,93720,O'neals,California,6,,Female,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,Demonstrate why your company and its products are special.,Decide how the product will look.,All of the above.,,4,3,4,5,4,4,4,4,5,4,4,4,3,4,5,4,Yes.,When your leading you need to communicate with your team.,Work hard.,Keep it close,54
3434,12/19/2014 13:05,12/19/2014 13:24,United States,Fresno,CA,93720,Coarsegold,California,7,,Female,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Profit.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,All of the above.,,3,4,3,3,2,4,5,3,3,3,4,5,2,1,3,3,That it is important and it it useful in real life.,"That sometimes, people just need to be lead.","Have fun, but remember to be serious too.","That if you don't, your company will fail.",36
3435,12/19/2014 13:06,12/19/2014 13:16,United States,Fresno,CA,93720,Oneals,California,7,,Male,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,,4,4,5,4,5,4,5,2,4,4,5,4,4,5,3,4,A lot of things,People hate me being in charge,I don't know,"Almost everything, I learned most from my dad and mom",54
3436,12/19/2014 13:06,12/19/2014 14:44,United States,Salinas,CA,93901,Salinas,California,6,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Give the bank shares of stock.,$5 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Revenue.,Introduce your customers to your logo and slogan.,Sell the product to your customers.,The amount of time it took to make the product.,,4,5,4,4,3,4,3,3,3,3,4,3,4,4,4,4,I learned to help others is fun .,I learned that leadership is cool working with other .,That it will be fun and cool.,I don't know ,36
3437,12/19/2014 13:06,12/19/2014 13:46,United States,Salinas,CA,93901,salinas,California,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Decision-making power for product design.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Rent - Interest = Profit (or Loss),Cash on hand.,Help increase sales of your product.,Decide how the product will look.,How popular the item/style might be.,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,that its nice to chare,that every one has fun,that bizworld is fun and when you grow up you will know how to make busness and maybe u could make your own bussnes,that you learn how to earn the money and pay the rent,27
3438,12/19/2014 13:08,12/23/2014 22:44,United States,Fresno,CA,93720,O'Neals,California,7,,Male,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,Demonstrate why your company and its products are special.,Decide how the product will look.,All of the above.,,4,4,4,5,5,4,5,5,4,4,4,3,4,4,4,4,Yout can get stuff done faster and better,It is important,Don't spend all of your money,It is important to be organized,45
3440,12/19/2014 13:11,12/19/2014 13:18,United States,Fresno,CA,93720,O'neils,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,5,5,4,3,4,3,4,5,4,3,4,5,4,5,5,That working together is important,The harder you work you can do anything ,How to spend their money,Not much,54
3441,12/19/2014 13:11,12/19/2014 13:23,United States,Fresno,CA,93720,O'neals,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be better able to make informed financial decisions.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,4,4,4,4,4,4,4,5,4,4,4,3,4,4,It is very and good to learn how to work in a group,It is needed quite a bit,Learn how to get a long with people,It's good to know how to manage your money.,81
3443,12/19/2014 13:13,12/19/2014 13:22,United States,Fresno,CA,93720,O'neals,California,6,,Female,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,2,3,4,4,5,4,4,4,5,4,4,4,4,5,3,That it's important in a company ,Not much,It's a great experience ,It's impo ,63
3445,12/19/2014 13:35,12/19/2014 13:44,United States,Salinas,CA,93901,salinas,California,6,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Help increase sales of your product.,Decide how the product will look.,All of the above.,,2,4,4,4,4,4,4,4,4,3,5,4,5,4,2,4,"I learned, we have to work together to get along with each other.",working together is fun,get along,know how to manage the money,63
3447,12/19/2014 13:48,12/19/2014 14:04,United States,Salinas,CA,93901,salinas,California,6,,Female,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$4 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Help increase sales of your product.,Sell the product to your customers.,The amount of time it took to make the product.,,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,to share and to try your best, to be polite use manners be nice to the custmores,that to stick together also to be polite  and  to try your best ,that when we grow up we know how to do the proccess ,18
3448,12/19/2014 13:57,12/19/2014 14:13,United States,Salinas,CA,93901,salinas,California,6,,Male,Hispanic,It sold all it's products,Just repay balance of the loan.,$5 ,Decision-making power for product design.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Introduce your customers to your logo and slogan.,Decide how the product will look.,The quality of the product.,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,i learn about teamwork because in school we talk to partners and do team work,i do leadership on class and help people when they need help,i would tell him to work hard and never give up in our company,i learn that managing is to easy because you are just to it,9
3449,12/19/2014 14:02,12/19/2014 14:33,United States,Salinas,CA,93901,Salinas,California,6,,Male,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,How popular the item/style might be.,,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,i learned that workimg as a team is easier ,it is good to work as a team ,to just try your best and have fun,that to just keep the money safe ,9
3450,12/19/2014 14:03,12/19/2014 14:26,United States,Salinas,CA,93901,Salinas,California,6,,Male,Hispanic,It sold all it's products,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,All of the above.,,4,3,4,5,3,4,4,4,3,5,4,4,4,4,3,4,"What I learned about my team is that we have are good times and are bad times first   We were arguing but, in a few weeks we started to get along",Its kind of cool because I was finance so got to do math and that's my favorite subject from school,The advice I will give is to be mature,Its a new level of money specally because its littel,27
